lvef,crea,gender,Procedure,Mortality,Morbidity_Mortality,DSW_Infection,Long_LOS,Perm_Stroke,Prolong_Vent,Renal_failure,Reoperation,Short_LOS
30,0.8,Male,AV Replacement + CAB,0.01986,0.13888,0.00182,0.06714,0.01212,0.08206,0.02678,0.08067,0.40692
30,0.8,Female,AV Replacement + CAB,0.02768,0.16605,0.00213,0.09052,0.01438,0.12267,0.03291,0.07566,0.28617
30,1.04444444444444,Male,AV Replacement + CAB,0.02211,0.15455,0.00182,0.07377,0.01283,0.08936,0.03249,0.08524,0.37914
30,1.04444444444444,Female,AV Replacement + CAB,0.03078,0.18413,0.00213,0.09922,0.01522,0.13306,0.03989,0.07998,0.26298
30,1.28888888888889,Male,AV Replacement + CAB,0.0246,0.17165,0.00182,0.08101,0.01358,0.09725,0.03939,0.09005,0.35212
30,1.28888888888889,Female,AV Replacement + CAB,0.03422,0.20371,0.00213,0.10866,0.01611,0.14419,0.04827,0.08452,0.24102
30,1.53333333333333,Male,AV Replacement + CAB,0.02737,0.1902,0.00182,0.08888,0.01438,0.10575,0.04767,0.09511,0.32603
30,1.53333333333333,Female,AV Replacement + CAB,0.03803,0.22479,0.00213,0.11887,0.01704,0.15608,0.05831,0.08929,0.22036
30,1.77777777777778,Male,AV Replacement + CAB,0.03044,0.21025,0.00182,0.09744,0.01522,0.1149,0.05759,0.10042,0.30096
30,1.77777777777778,Female,AV Replacement + CAB,0.04225,0.24737,0.00213,0.12991,0.01804,0.16877,0.07028,0.09431,0.201
30,2.02222222222222,Male,AV Replacement + CAB,0.03384,0.23181,0.00182,0.10673,0.0161,0.12473,0.06942,0.10598,0.27704
30,2.02222222222222,Female,AV Replacement + CAB,0.0469,0.27143,0.00213,0.1418,0.01908,0.18225,0.08448,0.09958,0.18294
30,2.26666666666667,Male,AV Replacement + CAB,0.03761,0.25487,0.00182,0.11679,0.01704,0.13527,0.08347,0.11182,0.25432
30,2.26666666666667,Female,AV Replacement + CAB,0.05205,0.29691,0.00213,0.15459,0.02019,0.19657,0.10125,0.10511,0.16616
30,2.51111111111111,Male,AV Replacement + CAB,0.04178,0.27938,0.00182,0.12765,0.01803,0.14655,0.10005,0.11794,0.23287
30,2.51111111111111,Female,AV Replacement + CAB,0.05773,0.3237,0.00213,0.16831,0.02136,0.21171,0.12089,0.1109,0.15065
30,2.75555555555556,Male,AV Replacement + CAB,0.0464,0.30529,0.00182,0.13938,0.01908,0.1586,0.1195,0.12435,0.2127
30,2.75555555555556,Female,AV Replacement + CAB,0.06398,0.35172,0.00213,0.18298,0.0226,0.22769,0.14375,0.11698,0.13634
30,3,Male,AV Replacement + CAB,0.05149,0.33249,0.00182,0.15199,0.02019,0.17144,0.14213,0.13105,0.19385
30,3,Female,AV Replacement + CAB,0.07086,0.38079,0.00213,0.19862,0.02391,0.2445,0.17009,0.12334,0.12319
33.3333333333333,0.8,Male,AV Replacement + CAB,0.01923,0.13471,0.00182,0.06509,0.01212,0.07931,0.02632,0.07894,0.41855
